,emotions,emotions_label,sentence,copy_sentence,word_count,AGE,SEX,COUN,sentence_ut
3990,3.0,sadness,"['when', 'my', 'girlfriend', 'decided', 'to', 'finish', 'our', 'relation']",When my girlfriend decided to finish our relation.,8,22.0,1.0,17.0,when my girlfriend decided to finish our relation
3991,4.0,disgust,"['when', 'once', 'again', 'i', 'drank', 'too', 'much', 'and', 'felt', 'very', 'rotten', 'the', 'morning', 'after']",When once again I drank too much and felt very rotten the morning ÌÁ after.,14,22.0,1.0,17.0,when once again i drank too much and felt very rotten the morning after
3994,0.0,joy,"['when', 'the', 'girl', 'with', 'whom', 'i', 'am', 'in', 'love', 'smile', 'at', 'me']",When the girl with whom I am in love smiles at me.,12,21.0,1.0,17.0,when the girl with whom i am in love smile at me
3995,1.0,fear,"['when', 'biking', 'and', 'i', 'felt', 'very', 'bad', 'problem', 'with', 'heart', 'and', 'respiration']",When biking and I felt very bad (problems with heart and ÌÁ respiration).,12,21.0,1.0,17.0,when biking and i felt very bad problem with heart and respiration
3996,2.0,anger,"['when', 'a', 'discussion', 'resulted', 'in', 'an', 'insult', 'which', 'in', 'my', 'opinion', 'wa', 'not', 'justified']","When a discussion resulted in an insult, which in my opinion, was ÌÁ not justified.",14,21.0,1.0,17.0,when a discussion resulted in an insult which in my opinion wa not justified
3997,3.0,sadness,"['when', 'i', 'realized', 'that', 'it', 'did', 'not', 'make', 'much', 'sense', 'to', 'start', 'a', 'relationship', 'with', 'a', 'girl', 'who', 'wa', 'not', 'very', 'constructive', 'to', 'establish', 'a', 'firm', 'relationship']",When I realized that it did not make much sense to start a ÌÁ relationship with a girl who was not very constructive to ÌÁ establish a firm relationship.,27,21.0,1.0,17.0,when i realized that it did not make much sense to start a relationship with a girl who wa not very constructive to establish a firm relationship
3998,4.0,disgust,"['when', 'i', 'had', 'to', 'finish', 'those', 'big', 'amount', 'of', 'homework', 'in', 'time']",When I had to finish those big amounts of homework in time.,12,21.0,1.0,17.0,when i had to finish those big amount of homework in time
4001,0.0,joy,"['on', 'my', 'birthday', 'when', 'several', 'good', 'friend', 'came', 'to', 'visit', 'me']",On my birthday when several good friends came to visit me.,11,20.0,2.0,17.0,on my birthday when several good friend came to visit me
4002,1.0,fear,"['i', 'went', 'to', 'the', 'apartment', 'of', 'my', 'boyfriend', 'and', 'saw', 'some', 'people', 'before', 'his', 'door', 'i', 'thought', 'that', 'something', 'had', 'happened']",I went to the apartment of my boyfriend and saw some people ÌÁ before his door. I thought that something had happened.,21,20.0,2.0,17.0,i went to the apartment of my boyfriend and saw some people before his door i thought that something had happened
4003,2.0,anger,"['my', 'father', 'called', 'me', 'behind', 'my', 'mother', 'back', 'and', 'told', 'me', 'that', 'my', 'mother', 'disapproved', 'my', 'behavior', 'in', 'the', 'weekend', 'however', 'he', 'didnt', 'tell', 'me', 'the', 'detail', 'and', 'left', 'me', 'with', 'unanswered', 'question']","My father called me (behind my mother's back) and told me that my ÌÁ mother disapproved my behavior in the weekend. However, he didn't ÌÁ tell me the details and left me with unanswered questions.",33,20.0,2.0,17.0,my father called me behind my mother back and told me that my mother disapproved my behavior in the weekend however he didnt tell me the detail and left me with unanswered question
4004,3.0,sadness,"['i', 'felt', 'very', 'lonely', 'wa', 'very', 'dissatisfied', 'with', 'myself', 'when', 'i', 'realised', 'that', 'i', 'could', 'feel', 'very', 'jealous', 'of', 'other', 'woman', 'because', 'of', 'my', 'boyfriend']","I felt very lonely, was very dissatisfied with myself when I ÌÁ realised that I could feel very jealous of other women because ÌÁ of my boyfriend.",25,20.0,2.0,17.0,i felt very lonely wa very dissatisfied with myself when i realised that i could feel very jealous of other woman because of my boyfriend
4005,4.0,disgust,"['a', 'scene', 'in', 'a', 'film', 'in', 'which', 'one', 'man', 'repressed', 'another', 'one', 'by', 'concidence', 'their', 'position', 'wa', 'reversed', 'the', 'other', 'man', 'wa', 'repressed', 'in', 'an', 'identical', 'way', 'a', 'he', 'did', 'before']","A scene in a film in which one man repressed another one. By ÌÁ concidence, their position was reversed. The other man was ÌÁ repressed in an identical way as he did before.",31,20.0,2.0,17.0,a scene in a film in which one man repressed another one by concidence their position wa reversed the other man wa repressed in an identical way a he did before
4008,0.0,joy,"['i', 'felt', 'joyful', 'when', 'my', 'boyfriend', 'met', 'me', 'at', 'the', 'station', 'while', 'at', 'first', 'he', 'had', 'said', 'that', 'he', 'would', 'not', 'do', 'that']","I felt joyful when my boyfriend met me at the station, while at ÌÁ first he had said that he would not do that.",23,24.0,2.0,17.0,i felt joyful when my boyfriend met me at the station while at first he had said that he would not do that
4010,2.0,anger,"['when', 'someone', 'doe', 'not', 'listen', 'to', 'me', 'after', 'having', 'asked', 'me', 'to', 'repeat', 'what', 'i', 'said', 'this', 'happened', 'more', 'than', 'one', 'time', 'with', 'the', 'same', 'person']",When someone does not listen to me after having asked me to ÌÁ repeat what I said. This happened more than one time with the ÌÁ same person.,26,24.0,2.0,17.0,when someone doe not listen to me after having asked me to repeat what i said this happened more than one time with the same person
4011,3.0,sadness,"['i', 'felt', 'very', 'sad', 'when', 'i', 'heard', 'that', 'a', 'friend', 'had', 'committed', 'suicide']",I felt very sad when I heard that a friend had committed suicide.,13,24.0,2.0,17.0,i felt very sad when i heard that a friend had committed suicide
4012,4.0,disgust,"['one', 'night', 'i', 'saw', 'a', 'man', 'being', 'knocked', 'down', 'by', 'two', 'other', 'men', 'the', 'victim', 'wa', 'kicked', 'against', 'his', 'head']",One night I saw a man being knocked down by two other men. The ÌÁ victim was kicked against his head.,20,24.0,2.0,17.0,one night i saw a man being knocked down by two other men the victim wa kicked against his head
4015,0.0,joy,"['for', 'a', 'few', 'day', 'i', 'felt', 'very', 'miserable', 'distressed', 'and', 'listless', 'with', 'cry', 'fit', 'when', 'this', 'wa', 'over', 'i', 'felt', 'very', 'happy', 'although', 'there', 'wa', 'no', 'special', 'reason']","For a few days I felt very miserable, distressed and listless, ÌÁ with crying fits. When this was over I felt very happy, although ÌÁ there was no special reason.",28,20.0,2.0,17.0,for a few day i felt very miserable distressed and listless with cry fit when this wa over i felt very happy although there wa no special reason
4016,1.0,fear,"['i', 'wa', 'testing', 'my', 'new', 'roller', 'skate', 'in', 'the', 'street', 'suddenly', 'a', 'dog', 'ran', 'barking', 'in', 'my', 'direction', 'very', 'threatening', 'i', 'wa', 'very', 'startled', 'and', 'terribly', 'upset']","I was testing my new roller skates in the street, suddenly a dog ÌÁ ran barking in my direction, very threatening. I was very ÌÁ startled and terribly upset.",27,20.0,2.0,17.0,i wa testing my new roller skate in the street suddenly a dog ran barking in my direction very threatening i wa very startled and terribly upset
4017,2.0,anger,"['out', 'on', 'a', 'weekend', 'with', 'a', 'group', 'of', 'people', 'everybody', 'felt', 'irritated', 'because', 'at', 'night', 'the', 'music', 'didnt', 'stop', 'in', 'time', 'and', 'at', 'breakfast', 'my', 'boyfriend', 'ran', 'away', 'because', 'we', 'didnt', 'agree', 'with', 'him', 'i', 'felt', 'angry']","Out on a weekend with a group of people, everybody felt irritated ÌÁ because at night the music didn't stop in time. And at breakfast ÌÁ my boyfriend ran away because we didn't agree with him. I felt ÌÁ angry.",37,20.0,2.0,17.0,out on a weekend with a group of people everybody felt irritated because at night the music didnt stop in time and at breakfast my boyfriend ran away because we didnt agree with him i felt angry
4018,3.0,sadness,"['recently', 'i', 'felt', 'very', 'sad', 'without', 'any', 'reason', 'it', 'lasted', 'for', 'a', 'few', 'day', 'there', 'wa', 'nothing', 'i', 'liked', 'in', 'that', 'period']",Recently I felt very sad without any reason. It lasted for a few ÌÁ days. There was nothing I liked in that period.,22,20.0,2.0,17.0,recently i felt very sad without any reason it lasted for a few day there wa nothing i liked in that period
4019,4.0,disgust,"['someone', 'told', 'me', 'a', 'story', 'of', 'amnesty', 'international', 'a', 'boy', 'wa', 'killed', 'and', 'his', 'head', 'wa', 'put', 'in', 'the', 'litter', 'of', 'his', 'girlfriend', 'it', 'looked', 'a', 'if', 'she', 'wa', 'pregnant', 'then', 'she', 'died', 'it', 'is', 'disgusting', 'i', 'can', 'hardly', 'write', 'it', 'down']","Someone told me a story of Amnesty International: a boy was ÌÁ killed and his head was put in the litter of his girlfriend. It ÌÁ looked as if she was pregnant, then she died. It is disgusting, I ÌÁ can hardly write it down.",42,20.0,2.0,17.0,someone told me a story of amnesty international a boy wa killed and his head wa put in the litter of his girlfriend it looked a if she wa pregnant then she died it is disgusting i can hardly write it down
4022,0.0,joy,"['when', 'my', 'boyfriend', 'and', 'i', 'experience', 'something', 'nice', 'or', 'when', 'we', 'have', 'made', 'a', 'nice', 'walk', 'together']",When my boyfriend and I experience something nice or when we have ÌÁ made a nice walk together.,17,20.0,2.0,17.0,when my boyfriend and i experience something nice or when we have made a nice walk together
4023,1.0,fear,"['the', 'weather', 'is', 'very', 'bad', 'fog', 'and', 'slipperiness', 'the', 'newcast', 'report', 'many', 'traffic', 'accident', 'and', 'my', 'boyfriend', 'is', 'driving', 'home', 'and', 'still', 'ha', '60', 'kilometer', 'to', 'go']",The weather is very bad (fog and slipperiness) the newcast ÌÁ reports many traffic accidents and my boyfriend is driving home ÌÁ and still has 60 kilometers to go.,27,20.0,2.0,17.0,the weather is very bad fog and slipperiness the newcast report many traffic accident and my boyfriend is driving home and still ha 60 kilometer to go
4024,2.0,anger,"['someone', 'told', 'me', 'that', 'he', 'would', 'stay', 'at', 'my', 'home', 'for', 'one', 'night', 'therefore', 'i', 'made', 'big', 'effort', 'to', 'make', 'everything', 'ok', 'food', 'one', 'day', 'before', 'he', 'cancelled', 'the', 'appointment', 'because', 'he', 'had', 'to', 'go', 'to', 'church', 'with', 'his', 'parent']",Someone told me that he would stay at my home for one night. ÌÁ Therefore I made big efforts to make everything ok (food). One day ÌÁ before he cancelled the appointment because he had to go to ÌÁ church with his parents.,40,20.0,2.0,17.0,someone told me that he would stay at my home for one night therefore i made big effort to make everything ok food one day before he cancelled the appointment because he had to go to church with his parent
4025,3.0,sadness,"['we', 'had', 'to', 'take', 'our', 'cat', 'to', 'the', 'vet', 'for', 'mercy', 'killing', 'an', 'injection']",We had to take our cat to the vet for mercy killing (an ÌÁ injection).,14,20.0,2.0,17.0,we had to take our cat to the vet for mercy killing an injection
4026,4.0,disgust,"['when', 'people', 'are', 'eating', 'unsavoury', 'smacking', 'belching', 'speaking', 'with', 'food', 'in', 'their', 'mouth', 'etc']","When people are eating unsavoury (smacking, belching, speaking ÌÁ with food in their mouth, etc.).",14,20.0,2.0,17.0,when people are eating unsavoury smacking belching speaking with food in their mouth etc
4029,0.0,joy,"['one', 'night', 'i', 'had', 'a', 'very', 'good', 'conversation', 'with', 'two', 'friend', 'i', 'then', 'realized', 'how', 'worthy', 'they', 'were', 'for', 'me', 'and', 'how', 'happy', 'i', 'wa', 'to', 'have', 'them', 'a', 'friend']",One night I had a very good conversation with two friends. I then ÌÁ realized how worthy they were for me and how happy I was to ÌÁ have them as friends.,30,20.0,2.0,17.0,one night i had a very good conversation with two friend i then realized how worthy they were for me and how happy i wa to have them a friend
4030,1.0,fear,"['in', 'the', 'morning', 'just', 'before', 'going', 'to', 'the', 'dentist']",In the morning just before going to the dentist.,9,20.0,2.0,17.0,in the morning just before going to the dentist
4031,2.0,anger,"['when', 'a', 'very', 'close', 'friend', 'with', 'whom', 'i', 'have', 'a', 'very', 'intimate', 'and', 'bodily', 'relationship', 'he', 'had', 'a', 'girlfriend', 'started', 'to', 'avoid', 'me', 'and', 'didnt', 'want', 'to', 'talk', 'to', 'me', 'any', 'more']",When a very close friend with whom I have a very intimate and ÌÁ bodily relationship (he had a girlfriend) started to avoid me and ÌÁ didn't want to talk to me any more.,32,20.0,2.0,17.0,when a very close friend with whom i have a very intimate and bodily relationship he had a girlfriend started to avoid me and didnt want to talk to me any more
4032,3.0,sadness,"['when', 'a', 'good', 'friend', 'with', 'whom', 'i', 'had', 'an', 'intimate', 'relationship', 'made', 'clear', 'that', 'he', 'didnt', 'want', 'to', 'continue', 'in', 'the', 'same', 'way', 'he', 'choose', 'his', 'girlfriend', 'also', 'a', 'friend', 'of', 'mine']",When a good friend with whom I had an intimate relationship made ÌÁ clear that he didn't want to continue in the same way. He choose ÌÁ his girlfriend (also a friend of mine).,32,20.0,2.0,17.0,when a good friend with whom i had an intimate relationship made clear that he didnt want to continue in the same way he choose his girlfriend also a friend of mine
4033,4.0,disgust,"['when', 'i', 'made', 'love', 'with', 'someone', 'who', 'i', 'didnt', 'really', 'love', 'sometimes', 'i', 'even', 'considered', 'him', 'unlikable']",When I made love with someone who I didn't really love. Sometimes ÌÁ I even considered him unlikable.,17,20.0,2.0,17.0,when i made love with someone who i didnt really love sometimes i even considered him unlikable
4036,0.0,joy,"['my', 'boyfriend', 'suffered', 'form', 'ill', 'health', 'for', 'some', 'month', 'this', 'week', 'the', 'physician', 'told', 'him', 'that', 'he', 'wa', 'restored', 'to', 'health']","My boyfriend suffered form ill health for some months, this week ÌÁ the physician told him that he was restored to health.",21,19.0,2.0,17.0,my boyfriend suffered form ill health for some month this week the physician told him that he wa restored to health
4037,1.0,fear,"['when', 'going', 'out', 'in', 'the', 'weekend', 'i', 'have', 'to', 'bike', '5', 'kilometer', 'through', 'lonely', 'and', 'dark', 'polder', 'then', 'i', 'always', 'have', 'terrifying', 'fantasy']","When going out in the weekend I have to bike 5 kilometers through ÌÁ lonely and dark polders, then I always have terrifying fantasies.",23,19.0,2.0,17.0,when going out in the weekend i have to bike 5 kilometer through lonely and dark polder then i always have terrifying fantasy
4038,2.0,anger,"['i', 'made', 'an', 'appointment', 'with', 'a', 'friend', 'to', 'drink', 'coffee', 'togehter', 'however', 'for', 'the', 'third', 'time', 'in', 'that', 'week', 'she', 'arrived', 'an', 'hour', 'too', 'late']","I made an appointment with a friend to drink coffee togehter. ÌÁ However, for the third time in that week she arrived an hour too ÌÁ late.",25,19.0,2.0,17.0,i made an appointment with a friend to drink coffee togehter however for the third time in that week she arrived an hour too late
4039,3.0,sadness,"['my', 'dear', 'hamster', 'called', 'hannes', 'died', 'at', 'the', 'age', 'of', '2', 'and', '12', 'year', 'his', 'shape', 'forced', 'me', 'to', 'mercy', 'killing', 'an', 'injection']",My dear hamster (called Hannes) died at the age of 2 and 1/2 years. ÌÁ His shape forced me to mercy killing (an injection).,23,19.0,2.0,17.0,my dear hamster called hannes died at the age of 2 and 12 year his shape forced me to mercy killing an injection
4040,4.0,disgust,"['i', 'read', 'a', 'newspaper', 'report', 'that', 'a', 'little', 'boy', 'wa', 'forced', 'to', 'look', 'while', 'his', 'sister', 'wa', 'raped']",I read a newspaper report that a little boy was forced to look ÌÁ while his sister was raped.,18,19.0,2.0,17.0,i read a newspaper report that a little boy wa forced to look while his sister wa raped
4043,0.0,joy,"['after', 'the', 'funeral', 'of', 'an', 'acquaintance', 'i', 'felt', 'very', 'depressed', 'that', 'feeling', 'turned', 'into', 'joy', 'when', 'i', 'heard', 'that', 'i', 'had', 'achieved', 'a', 'good', 'grade', 'for', 'an', 'examination']",After the funeral of an acquaintance I felt very depressed. That ÌÁ feeling turned into joy when I heard that I had achieved a good ÌÁ grade for an examination.,28,22.0,2.0,17.0,after the funeral of an acquaintance i felt very depressed that feeling turned into joy when i heard that i had achieved a good grade for an examination
4044,1.0,fear,"['i', 'had', 'to', 'call', 'someone', 'and', 'make', 'an', 'appointment', 'for', 'a', 'conversation', 'i', 'wa', 'very', 'afraid', 'to', 'fail']",I had to call someone and make an appointment for a conversation. ÌÁ I was very afraid to fail.,18,22.0,2.0,17.0,i had to call someone and make an appointment for a conversation i wa very afraid to fail
4045,2.0,anger,"['when', 'after', 'having', 'cleaned', 'up', 'the', 'kitchen', 'two', 'hour', 'later', 'i', 'saw', 'that', 'there', 'wa', 'a', 'big', 'mess', 'it', 'irritated', 'me', 'very', 'much']","When, after having cleaned up the kitchen, two hours later I saw ÌÁ that there was a big mess. It irritated me very much.",23,22.0,2.0,17.0,when after having cleaned up the kitchen two hour later i saw that there wa a big mess it irritated me very much
4046,3.0,sadness,"['one', 'night', 'i', 'wa', 'called', 'and', 'told', 'that', 'the', 'father', 'of', 'a', 'close', 'friend', 'died', 'when', 'i', 'visited', 'my', 'friend', 'at', 'home', 'and', 'when', 'attending', 'the', 'funeral', 'i', 'felt', 'very', 'sad']",One night I was called and told that the father of a close friend ÌÁ died. When I visited my friend at home and when attending the ÌÁ funeral I felt very sad.,31,22.0,2.0,17.0,one night i wa called and told that the father of a close friend died when i visited my friend at home and when attending the funeral i felt very sad
4047,4.0,disgust,"['i', 'cannot', 'remember', 'exactly', 'such', 'a', 'situation', 'but', 'i', 'know', 'that', 'once', 'i', 'went', 'to', 'a', 'very', 'dirty', 'lavatory', 'and', 'that', 'disgusted', 'me']",I cannot remember exactly such a situation. But I know that ÌÁ once I went to a very dirty lavatory and that disgusted me.,23,22.0,2.0,17.0,i cannot remember exactly such a situation but i know that once i went to a very dirty lavatory and that disgusted me
4050,0.0,joy,"['when', 'i', 'found', 'out', 'that', 'the', 'girl', 'with', 'whom', 'i', 'wa', 'in', 'love', 'loved', 'me', 'too']","When I found out that the girl, with whom I was in love, loved me ÌÁ too.",16,22.0,1.0,17.0,when i found out that the girl with whom i wa in love loved me too
4051,1.0,fear,"['when', 'my', 'mother', 'threatened', 'me', 'with', 'thrushing', 'me', 'of', 'the', 'stair', 'when', 'i', 'once', 'more', 'should', 'make', 'a', 'comment']","When my mother threatened me with thrushing me of the stairs, when ÌÁ I once more should make a comment.",19,22.0,1.0,17.0,when my mother threatened me with thrushing me of the stair when i once more should make a comment
4052,2.0,anger,"['when', 'being', 'made', 'look', 'a', 'fool', 'by', 'the', 'teacher', 'in', 'front', 'of', 'the', 'class', 'during', 'a', 'turn']",When being made look a fool by the teacher in front of the class ÌÁ during a turn.,17,22.0,1.0,17.0,when being made look a fool by the teacher in front of the class during a turn
4053,3.0,sadness,"['my', 'mother', 'unjustly', 'became', 'very', 'angry', 'with', 'me', 'and', 'sent', 'me', 'to', 'my', 'room', 'while', 'my', 'father', 'explained', 'that', 'the', 'way', 'she', 'saw', 'thing', 'wa', 'not', 'correct', 'i', 'had', 'done', 'thing', 'with', 'the', 'best', 'intention']",My mother unjustly became very angry with me and sent me to my ÌÁ room while my father explained that the way she saw things was ÌÁ not correct. I had done things with the best intentions.,35,22.0,1.0,17.0,my mother unjustly became very angry with me and sent me to my room while my father explained that the way she saw thing wa not correct i had done thing with the best intention
4054,4.0,disgust,"['my', 'mother', 'wa', 'very', 'angry', 'with', 'my', 'little', 'sister', 'and', 'told', 'her', 'to', 'put', 'her', 'hand', 'on', 'the', 'table', 'in', 'order', 'to', 'beat', 'her', 'hand', 'up', 'she', 'forced', 'by', 'mean', 'of', 'her', 'power']",My mother was very angry with my little sister and told her to ÌÁ put her hands on the table in order to beat her hands up. She ÌÁ forced by means of her power.,33,22.0,1.0,17.0,my mother wa very angry with my little sister and told her to put her hand on the table in order to beat her hand up she forced by mean of her power
4057,0.0,joy,"['once', 'a', 'week', 'i', 'work', 'a', 'a', 'volunteer', 'in', 'a', 'biologic', 'garden', 'this', 'work', 'in', 'the', 'garden', 'and', 'the', 'contact', 'with', 'other', 'volunteer', 'filled', 'me', 'with', 'joy', 'they', 'also', 'gave', 'me', 'support', 'after', 'i', 'failed', 'passing', 'my', 'driver', 'test']",Once a week I work as a volunteer in a biologic garden. this work ÌÁ in the garden and the contact with other volunteers filled me ÌÁ with joy. They also gave me support after I failed passing my ÌÁ driver's test.,39,27.0,1.0,17.0,once a week i work a a volunteer in a biologic garden this work in the garden and the contact with other volunteer filled me with joy they also gave me support after i failed passing my driver test
4058,1.0,fear,"['my', 'friend', 'and', 'i', 'planned', 'to', 'search', 'for', 'old', 'document', 'and', 'utensil', 'in', 'the', 'cellar', 'it', 'wa', 'very', 'late', 'at', 'night', 'when', 'we', 'arrived', 'in', 'the', 'cellar', 'he', 'indicated', 'the', 'place', 'where', 'the', 'police', '40', 'year', 'ago', 'found', 'two', 'dead', 'body', 'i', 'got', 'very', 'scared', 'when', 'he', 'told', 'me', 'this', 'story']",My friend and I planned to search for old documents and utensils ÌÁ in the cellar. It was very late at night when we arrived in the ÌÁ cellar. He indicated the place where the police (40 years ago) found ÌÁ two dead bodies. I got very scared when he told me this story.,51,27.0,1.0,17.0,my friend and i planned to search for old document and utensil in the cellar it wa very late at night when we arrived in the cellar he indicated the place where the police 40 year ago found two dead body i got very scared when he told me this story
4059,0.0,joy,"['when', 'someone', 'made', 'me', 'a', 'compliment', 'after', 'an', 'examination', 'just', 'at', 'the', 'moment', 'i', 'needed', 'it', 'it', 'wa', 'amicable', 'hearty', 'and', 'sincere']","When someone made me a compliment after an examination just at ÌÁ the moment I needed it. It was amicable, hearty and sincere.",22,18.0,2.0,17.0,when someone made me a compliment after an examination just at the moment i needed it it wa amicable hearty and sincere
4060,1.0,fear,"['when', 'i', 'went', 'up', 'the', 'stair', 'in', 'a', 'high', 'dark', 'house', 'full', 'of', 'shadow', 'passed', 'a', 'door', 'and', 'had', 'the', 'feeling', 'that', 'someone', 'or', 'something', 'wa', 'behind', 'me', 'although', 'i', 'knew', 'i', 'wa', 'alone']","When I went up the stairs in a high, dark house full of shadows, ÌÁ passed a door and had the feeling that someone or something was ÌÁ behind me, although I knew I was alone.",34,18.0,2.0,17.0,when i went up the stair in a high dark house full of shadow passed a door and had the feeling that someone or something wa behind me although i knew i wa alone
4061,2.0,anger,"['a', 'friend', 'told', 'me', 'it', 'would', 'be', 'better', 'for', 'me', 'not', 'to', 'be', 'on', 'familiar', 'term', 'with', 'another', 'friend', 'although', 'in', 'my', 'opinion', 'he', 'had', 'no', 'reason', 'to', 'say', 'such', 'thing', 'he', 'only', 'said', 'so', 'hoping', 'that', 'i', 'would', 'search', 'support', 'from', 'him', 'that', 'however', 'wa', 'not', 'necessary']","A friend told me it would be better for me not to be on familiar ÌÁ terms with another friend, although, in my opinion he had no ÌÁ reason to say such things. He only said so hoping that I ÌÁ would search support from him (that, however, was not necessary).",48,18.0,2.0,17.0,a friend told me it would be better for me not to be on familiar term with another friend although in my opinion he had no reason to say such thing he only said so hoping that i would search support from him that however wa not necessary
4062,3.0,sadness,"['i', 'had', 'a', 'good', 'relationship', 'with', 'two', 'friend', 'once', 'without', 'reason', 'they', 'clearly', 'showed', 'that', 'they', 'thought', 'i', 'wa', 'naive', 'dull', 'and', 'unable', 'to', 'take', 'care', 'for', 'myself', 'while', 'i', 'expostulated', 'that', 'i', 'could', 'manage', 'thing']","I had a good relationship with two friends. Once without reason, ÌÁ they clearly showed that they thought I was naive, dull and ÌÁ unable to take care for myself, while I expostulated that I could ÌÁ manage things.",36,18.0,2.0,17.0,i had a good relationship with two friend once without reason they clearly showed that they thought i wa naive dull and unable to take care for myself while i expostulated that i could manage thing
4063,4.0,disgust,"['when', 'i', 'see', 'that', 'some', 'people', 'remain', 'cold', 'and', 'egoistic', 'with', 'regard', 'to', 'close', 'friend', 'even', 'in', 'situation', 'that', 'those', 'friend', 'need', 'them']","When I see that some people remain cold and egoistic with regard ÌÁ to close friends, even in situations that those friends need ÌÁ them.",23,18.0,2.0,17.0,when i see that some people remain cold and egoistic with regard to close friend even in situation that those friend need them
4066,0.0,joy,"['a', 'few', 'day', 'ago', 'i', 'hitchhiked', 'to', 'arnhem', 'with', 'a', 'friend', 'everything', 'went', 'well', 'they', 'picked', 'u', 'up', 'very', 'quickly', 'the', 'sun', 'wa', 'shining', 'i', 'wa', 'feeling', 'free', 'and', 'for', 'the', 'first', 'time', 'after', 'long', 'time', 'happy', 'i', 'really', 'had', 'the', 'feeling', 'that', 'i', 'wa', 'living', 'at', 'full', 'speed']","A few days ago, I hitch-hiked to Arnhems with a friend. ÌÁ Everything went well: they picked us up very quickly, the sun was ÌÁ shining, I was feeling free and, for the first time after long ÌÁ time, happy. I really had the feeling that I was living at full ÌÁ speed.",49,19.0,2.0,17.0,a few day ago i hitchhiked to arnhem with a friend everything went well they picked u up very quickly the sun wa shining i wa feeling free and for the first time after long time happy i really had the feeling that i wa living at full speed
4067,1.0,fear,"['my', 'grandmother', 'several', 'time', 'ha', 'been', 'struck', 'by', 'cerebral', 'hemorrhage', 'until', 'now', 'she', 'recovered', 'well', 'each', 'time', 'but', 'there', 'is', 'always', 'the', 'threat', 'to', 'loose', 'her']","My grandmother several times has been struck by cerebral ÌÁ hemorrhages. Until now she recovered well each time, but there is ÌÁ always the threat to loose her.",26,19.0,2.0,17.0,my grandmother several time ha been struck by cerebral hemorrhage until now she recovered well each time but there is always the threat to loose her
4068,2.0,anger,"['i', 'had', 'made', 'an', 'appointment', 'with', 'three', 'friend', 'we', 'had', 'to', 'go', 'out', 'together', 'when', 'i', 'arrived', 'at', 'the', 'place', 'the', 'other', 'person', 'werent', 'there', 'i', 'became', 'very', 'angry', 'because', 'i', 'thought', 'they', 'were', 'gone', 'without', 'me', 'that', 'however', 'didnt', 'appear', 'to', 'be', 'the', 'case']","I had made an appointment with three friends. We had to go out ÌÁ together. When I arrived at the place, the other persons weren't ÌÁ there. I became very angry because I thought they were gone ÌÁ without me. That, however, didn't appear to be the case.",45,19.0,2.0,17.0,i had made an appointment with three friend we had to go out together when i arrived at the place the other person werent there i became very angry because i thought they were gone without me that however didnt appear to be the case
4069,3.0,sadness,"['i', 'finished', 'the', 'relationship', 'with', 'my', 'boyfriend', 'after', 'having', 'felt', 'myself', 'very', 'unhappy', 'for', 'a', 'long', 'time']","I finished the relationship with my boyfriend, after having felt ÌÁ myself very unhappy for a long time.",17,19.0,2.0,17.0,i finished the relationship with my boyfriend after having felt myself very unhappy for a long time
4070,4.0,disgust,"['a', 'few', 'day', 'after', 'i', 'had', 'finished', 'the', 'relationship', 'with', 'my', 'boyfriend', 'we', 'had', 'a', 'quarrel', 'then', 'he', 'hit', 'me', 'at', 'that', 'moment', 'i', 'found', 'him', 'disgusting']","A few days after I had finished the relationship with my ÌÁ boyfriend, we had a quarrel. Then he hit me. At that moment I ÌÁ found him disgusting.",27,19.0,2.0,17.0,a few day after i had finished the relationship with my boyfriend we had a quarrel then he hit me at that moment i found him disgusting
4073,0.0,joy,"['a', 'close', 'relative', 'of', 'mine', 'underwent', 'a', 'difficult', 'operation', 'and', 'everything', 'turned', 'out', 'fine']","A close relative of mine underwent a difficult operation, and everything ÌÁ turned out fine.",14,21.0,1.0,19.0,a close relative of mine underwent a difficult operation and everything turned out fine
4074,1.0,fear,"['when', 'i', 'get', 'into', 'the', 'tube', 'or', 'the', 'train', 'without', 'paying', 'for', 'the', 'ticket']",When I get into the tube or the train without paying for the ÌÁ ticket.,14,21.0,1.0,19.0,when i get into the tube or the train without paying for the ticket
4075,2.0,anger,"['a', 'classmate', 'urged', 'me', 'to', 'carry', 'out', 'a', 'particular', 'protest', 'along', 'with', 'him', 'and', 'when', 'the', 'time', 'came', 'this', 'fellow', 'drew', 'back', 'while', 'i', 'had', 'to', 'face', 'the', 'situation']","A class-mate urged me to carry out a particular protest along ÌÁ with him, and when the time came this fellow drew back while I ÌÁ had to face the situation.",29,21.0,1.0,19.0,a classmate urged me to carry out a particular protest along with him and when the time came this fellow drew back while i had to face the situation
4076,3.0,sadness,"['when', 'i', 'failed', 'the', 'entrance', 'exam', 'to', 'imec']",When I failed the entrance exam to IMEC.,8,21.0,1.0,19.0,when i failed the entrance exam to imec
4077,4.0,disgust,"['when', 'i', 'saw', 'someone', 'eating', 'live', 'worm']",When I saw someone eating live worms.,7,21.0,1.0,19.0,when i saw someone eating live worm
4080,0.0,joy,"['when', 'they', 'told', 'me', 'that', 'i', 'had', 'got', 'a', 'study', 'grant']",When they told me that I had got a study grant.,11,19.0,1.0,19.0,when they told me that i had got a study grant
